"pqrsds","asunto","categoria","fecha_entrada","fecha_maxima_respuesta","fecha_respuesta"
"PQRSDS 2020099","Comunicación directa con Gerencia","Otros","2020-11-10T00:00:00.000","2020-11-20T00:00:00.000","2020-11-11T00:00:00.000"
"PQRSDS 2020100","examen de COVID-19 para viajar a la ciudad de Bogotá","Prueba Covid Nacionales","2020-11-11T00:00:00.000","2020-11-21T00:00:00.000","2020-11-11T00:00:00.000"
"PQRSDS 2020101","viajar desde España a Colombia (pereira).","Ingreso a Colombia","2020-11-11T00:00:00.000","2020-11-21T00:00:00.000","2020-11-11T00:00:00.000"
"PQRSDS 2020102","Queja Aerolineas","Queja Aerolinea","2020-11-05T00:00:00.000","2020-11-15T00:00:00.000","2020-11-17T00:00:00.000"
"PQRSDS 2020103","Consulta Prueba Covid -19","Prueba Covid Internacionales","2020-11-11T00:00:00.000","2020-11-21T00:00:00.000","2020-11-17T00:00:00.000"
"PQRSDS 2020104","Consulta Prueba Covid -20","Prueba Covid Internacionales","2020-11-17T00:00:00.000","2020-11-27T00:00:00.000","2020-11-18T00:00:00.000"
"PQRSDS 2020105","Vuelos provenientes de Panama","Ingreso a Colombia","2020-11-17T00:00:00.000","2020-11-27T00:00:00.000","2020-11-18T00:00:00.000"
"PQRSDS 2020106","prueba de covid para poder salir de Miami e ingresar a Colombia","Ingreso a Colombia","2020-11-17T00:00:00.000","2020-11-27T00:00:00.000","2020-11-18T00:00:00.000"
"PQRSDS 2020107","Hoja de vida","Hoja de Vida","2020-11-17T00:00:00.000","2020-11-27T00:00:00.000","2020-11-18T00:00:00.000"
"PQRSDS 2020108","Parqueaderos","Parking","2020-11-23T00:00:00.000","2020-12-03T00:00:00.000","2020-11-24T00:00:00.000"
"PQRSDS 2020109","Parqueaderos","Parking","2020-11-24T00:00:00.000","2020-12-04T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020110","Vuelos de España","Ingreso a Colombia","2020-11-24T00:00:00.000","2020-12-04T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020111","Queja Aerolineas","Queja Aerolinea","2020-11-24T00:00:00.000","2020-12-04T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020112","Reclamo empresa de seguridad","Otros","2020-11-18T00:00:00.000","2020-11-28T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020113","Consulta protocolos bioseguridad","Otros","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020114","Queja Aerolineas","Queja Aerolinea","2020-11-21T00:00:00.000","2020-12-01T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020115","Queja Aerolineas","Queja Aerolinea","2020-11-26T00:00:00.000","2020-12-06T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020116","Reclamo empresa de seguridad","Otros","2020-11-25T00:00:00.000","2020-12-05T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020117","Queja Aerolineas","Queja Aerolinea","2020-11-26T00:00:00.000","2020-12-06T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020118","Viaje a chile","Migracion","2020-11-24T00:00:00.000","2020-12-04T00:00:00.000","2020-11-26T00:00:00.000"
"PQRSDS 2020119","Prueba Covid -19","Prueba Covid Internacionales","2020-11-27T00:00:00.000","2020-12-07T00:00:00.000","2020-11-30T00:00:00.000"
"PQRSDS 2020120","Estado de los vuelos","Estados Vuelos","2020-11-27T00:00:00.000","2020-12-07T00:00:00.000","2020-11-30T00:00:00.000"
"PQRSDS 2020121","Parqueaderos","Parking","2020-11-27T00:00:00.000","2020-12-07T00:00:00.000","2020-11-30T00:00:00.000"
"PQRSDS 2020122","Prueba Covid -19","Prueba Covid Internacionales","2020-12-01T00:00:00.000","2020-12-11T00:00:00.000","2020-12-01T00:00:00.000"
"PQRSDS 2020123","Viaje mascota","Mascotas","2020-12-02T00:00:00.000","2020-12-11T00:00:00.000","2020-12-01T00:00:00.000"
"PQRSDS 2020124","Tiquetes y rutas","Tiquetes","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020125","Hoja de vida","Prueba Covid Internacionales","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020126","Prueba Covid -19","Prueba Covid Internacionales","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020127","Parqueaderos","Parking","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020128","Parqueaderos","Quejas instalaciones","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020129","Queja Aerolineas","Queja Aerolinea","2020-12-14T00:00:00.000","2020-12-24T00:00:00.000","2020-12-15T00:00:00.000"
"PQRSDS 2020130","Queja Migracion","Migracion","2020-12-14T00:00:00.000","2020-12-24T00:00:00.000","2020-12-15T00:00:00.000"
"PQRSDS 2020131","Prueba Covid -19","Prueba Covid Internacionales","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020132","Hoja de vida","Hoja de Vida","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020133","Prueba Covid -19","Prueba Covid Internacionales","2020-12-09T00:00:00.000","2020-12-19T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020134","Prueba Covid -19","Prueba Covid Internacionales","2020-12-08T00:00:00.000","2020-12-18T00:00:00.000","2020-12-10T00:00:00.000"
"PQRSDS 2020135","Hoja de vida","Hoja de Vida","2020-12-11T00:00:00.000","2020-12-21T00:00:00.000","2020-12-14T00:00:00.000"
"PQRSDS 2020136","Queja empresa de seguridad","Otros","2020-12-11T00:00:00.000","2020-12-21T00:00:00.000","2020-12-14T00:00:00.000"
"PQRSDS 2020137","Queja empresa de seguridad","Otros","2020-12-11T00:00:00.000","2020-12-21T00:00:00.000","2020-12-14T00:00:00.000"
"PQRSDS 2020138","Informacion locales comerciales","Opam","2020-12-11T00:00:00.000","2020-12-21T00:00:00.000","2020-12-14T00:00:00.000"
"PQRSDS 2020139","horarios de operación del aeródromo","Opam","2020-12-15T00:00:00.000","2020-12-25T00:00:00.000","2020-12-15T00:00:00.000"
"PQRSDS 2020140","parqueaderos","Parking","2020-12-15T00:00:00.000","2020-12-25T00:00:00.000","2020-12-15T00:00:00.000"
"PQRSDS 2020141","Inquietud con prueba covid","Prueba Covid Internacionales","2020-12-15T00:00:00.000","2020-12-25T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020142","Queja / Reclamo aerolinea","Quejas instalaciones","2020-12-13T00:00:00.000","2020-12-23T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020143","Consulta pasaporte americano vencido.","Otros","2020-12-18T00:00:00.000","2020-12-28T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020144","Prueba Covid -19","Prueba Covid Internacionales","2020-12-18T00:00:00.000","2020-12-28T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020145","Prueba Covid -19","Prueba Covid Internacionales","2020-12-17T00:00:00.000","2020-12-27T00:00:00.000","2020-12-21T00:00:00.000"
